taget,date,day,times,open,high,low,close,volume,MA.MA1,MA.MA2,MA.MA3,MA.MA4,VOL-TDX.VOLUME,VOL-TDX.MAVOL1,VOL-TDX.MAVOL2,MACD.DIF,MACD.DEA,MACD.MACD
202307171043 , 2023/07/17 10:43,2023/7/17,10:43,2515.07,2515.07,2514.25,2514.36,15441,2514.4,2514.74,2515.13,2516.89,15441,12465,12437,-0.79,-0.85,0.11
202307171044 , 2023/07/17 10:44,2023/7/17,10:44,2514.39,2515.11,2514.39,2514.83,13970,2514.6,2514.64,2515.14,2516.86,13970,12864,12874,-0.73,-0.82,0.18
202307171045 , 2023/07/17 10:45,2023/7/17,10:45,2514.85,2515.71,2514.49,2514.74,11790,2514.66,2514.55,2515.12,2516.83,11790,12951,12970,-0.69,-0.8,0.22
202307171046 , 2023/07/17 10:46,2023/7/17,10:46,2514.77,2515.58,2513.6,2513.94,19482,2514.58,2514.39,2515.06,2516.78,19482,14800,13679,-0.71,-0.78,0.14
202307171047 , 2023/07/17 10:47,2023/7/17,10:47,2513.62,2514.61,2513.54,2514.25,11091,2514.42,2514.39,2515.01,2516.72,11091,14355,13166,-0.69,-0.76,0.14
202307171048 , 2023/07/17 10:48,2023/7/17,10:48,2514.11,2515.03,2514.04,2514.95,9575,2514.54,2514.47,2514.98,2516.69,9575,13182,12823,-0.61,-0.73,0.24
202307171049 , 2023/07/17 10:49,2023/7/17,10:49,2515.21,2515.86,2514.29,2515.71,13166,2514.72,2514.66,2514.97,2516.65,13166,13021,12942,-0.48,-0.68,0.39
202307171050 , 2023/07/17 10:50,2023/7/17,10:50,2515.5,2515.77,2514.8,2515.23,12702,2514.82,2514.74,2514.91,2516.6,12702,13203,13077,-0.42,-0.63,0.42
202307171051 , 2023/07/17 10:51,2023/7/17,10:51,2515.45,2516.36,2515.45,2515.6,13219,2515.15,2514.86,2514.93,2516.55,13219,11951,13375,-0.33,-0.57,0.48
202307171052 , 2023/07/17 10:52,2023/7/17,10:52,2515.17,2516.3,2515.17,2516.08,12150,2515.51,2514.97,2514.94,2516.49,12150,12162,13259,-0.22,-0.5,0.56
202307171053 , 2023/07/17 10:53,2023/7/17,10:53,2515.42,2516.4,2515.11,2516.17,12425,2515.76,2515.15,2514.95,2516.42,12425,12732,12957,-0.12,-0.42,0.6
202307171054 , 2023/07/17 10:54,2023/7/17,10:54,2515.61,2516.8,2515.61,2516.76,11339,2515.97,2515.34,2514.99,2516.37,11339,12367,12694,0,-0.34,0.68
202307171055 , 2023/07/17 10:55,2023/7/17,10:55,2516.6,2517.34,2516.14,2516.3,11551,2516.18,2515.5,2515.02,2516.32,11551,12137,12670,0.06,-0.26,0.64
202307171056 , 2023/07/17 10:56,2023/7/17,10:56,2517.27,2517.3,2515.92,2516.73,10439,2516.41,2515.78,2515.08,2516.29,10439,11581,11766,0.14,-0.18,0.64
202307171057 , 2023/07/17 10:57,2023/7/17,10:57,2516.5,2516.55,2515.7,2516.34,12235,2516.46,2515.99,2515.19,2516.27,12235,11598,11880,0.17,-0.11,0.56
202307171058 , 2023/07/17 10:58,2023/7/17,10:58,2516.28,2516.91,2515.88,2516.85,10316,2516.6,2516.18,2515.32,2516.26,10316,11176,11954,0.23,-0.04,0.55
202307171059 , 2023/07/17 10:59,2023/7/17,10:59,2516.86,2516.86,2515.93,2516.43,10785,2516.53,2516.25,2515.45,2516.25,10785,11065,11716,0.25,0.02,0.46
202307171100 , 2023/07/17 11:00,2023/7/17,11:00,2515.94,2516.21,2515.1,2515.59,13981,2516.39,2516.28,2515.51,2516.25,13981,11551,11844,0.19,0.05,0.27
202307171101 , 2023/07/17 11:01,2023/7/17,11:01,2515.52,2515.52,2513.66,2514.04,21568,2515.85,2516.13,2515.5,2516.24,21568,13777,12679,0.02,0.04,-0.06
202307171102 , 2023/07/17 11:02,2023/7/17,11:02,2514.78,2514.98,2513.8,2514.38,12042,2515.46,2515.96,2515.46,2516.24,12042,13738,12668,-0.09,0.02,-0.22
202307171103 , 2023/07/17 11:03,2023/7/17,11:03,2514.3,2515.15,2514.18,2515.08,13311,2515.1,2515.85,2515.5,2516.22,13311,14337,12757,-0.12,-0.01,-0.22
202307171104 , 2023/07/17 11:04,2023/7/17,11:04,2514.84,2515.42,2514.67,2515.42,10252,2514.9,2515.72,2515.53,2516.16,10252,14231,12648,-0.11,-0.03,-0.17
202307171105 , 2023/07/17 11:05,2023/7/17,11:05,2515.15,2516.07,2515.15,2515.67,10699,2514.92,2515.65,2515.58,2516.11,10699,13574,12563,-0.09,-0.04,-0.09
202307171106 , 2023/07/17 11:06,2023/7/17,11:06,2515.86,2516.22,2515.44,2515.91,7995,2515.29,2515.57,2515.67,2516.06,7995,10860,12318,-0.05,-0.04,-0.01
202307171107 , 2023/07/17 11:07,2023/7/17,11:07,2515.84,2516.21,2515.67,2516.21,7599,2515.66,2515.56,2515.77,2516,7599,9971,11855,0.01,-0.03,0.09
202307171108 , 2023/07/17 11:08,2023/7/17,11:08,2516.28,2516.43,2515.75,2516.43,8356,2515.93,2515.52,2515.85,2515.95,8356,8980,11659,0.07,-0.01,0.17
202307171109 , 2023/07/17 11:09,2023/7/17,11:09,2516.08,2516.44,2515.94,2516.17,8532,2516.08,2515.49,2515.87,2515.9,8532,8636,11434,0.1,0.01,0.18
202307171110 , 2023/07/17 11:10,2023/7/17,11:10,2515.85,2516.31,2515.6,2516.23,7037,2516.19,2515.55,2515.92,2515.82,7037,7904,10739,0.12,0.03,0.18
202307171111 , 2023/07/17 11:11,2023/7/17,11:11,2516.06,2516.31,2515.66,2516.23,8865,2516.25,2515.77,2515.95,2515.79,8865,8078,9469,0.14,0.05,0.17
202307171112 , 2023/07/17 11:12,2023/7/17,11:12,2516.36,2516.83,2516.19,2516.83,10428,2516.38,2516.02,2515.99,2515.76,10428,8644,9307,0.2,0.08,0.23
202307171113 , 2023/07/17 11:13,2023/7/17,11:13,2516.6,2516.97,2516.5,2516.66,9894,2516.42,2516.18,2516.01,2515.73,9894,8951,8966,0.23,0.11,0.24
202307171114 , 2023/07/17 11:14,2023/7/17,11:14,2516.7,2517.07,2516.36,2516.9,9132,2516.57,2516.32,2516.02,2515.71,9132,9071,8854,0.27,0.15,0.26
202307171115 , 2023/07/17 11:15,2023/7/17,11:15,2516.4,2516.95,2516.37,2516.9,7076,2516.7,2516.45,2516.05,2515.7,7076,9079,8491,0.3,0.18,0.25
202307171116 , 2023/07/17 11:16,2023/7/17,11:16,2516.82,2517.61,2516.44,2517.51,8371,2516.96,2516.61,2516.09,2515.72,8371,8980,8529,0.37,0.22,0.31
202307171117 , 2023/07/17 11:17,2023/7/17,11:17,2517.57,2517.57,2516.71,2517.23,7866,2517.04,2516.71,2516.13,2515.72,7866,8468,8556,0.4,0.25,0.29
202307171118 , 2023/07/17 11:18,2023/7/17,11:18,2517.26,2517.44,2516.04,2516.34,9940,2516.98,2516.7,2516.11,2515.7,9940,8477,8714,0.34,0.27,0.15
202307171119 , 2023/07/17 11:19,2023/7/17,11:19,2516.4,2516.66,2515.58,2515.58,10169,2516.71,2516.64,2516.07,2515.67,10169,8684,8878,0.24,0.26,-0.06
202307171120 , 2023/07/17 11:20,2023/7/17,11:20,2516.33,2516.86,2515.77,2516.13,9108,2516.56,2516.63,2516.09,2515.64,9108,9091,9085,0.19,0.25,-0.11
202307171121 , 2023/07/17 11:21,2023/7/17,11:21,2516.03,2516.37,2515.54,2515.94,10623,2516.24,2516.6,2516.19,2515.64,10623,9541,9261,0.14,0.23,-0.17
202307171122 , 2023/07/17 11:22,2023/7/17,11:22,2515.82,2516.21,2514.34,2514.74,14303,2515.75,2516.39,2516.21,2515.62,14303,10829,9648,0,0.18,-0.36
202307171123 , 2023/07/17 11:23,2023/7/17,11:23,2514.23,2514.23,2512.61,2513.77,24507,2515.23,2516.1,2516.14,2515.59,24507,13742,11110,-0.18,0.11,-0.58
202307171124 , 2023/07/17 11:24,2023/7/17,11:24,2513.96,2514.57,2513.96,2514.28,9466,2514.97,2515.84,2516.08,2515.58,9466,13601,11143,-0.28,0.03,-0.63
202307171125 , 2023/07/17 11:25,2023/7/17,11:25,2514.55,2515,2514.35,2514.81,9009,2514.71,2515.63,2516.04,2515.58,9009,13582,11336,-0.32,-0.04,-0.56
202307171126 , 2023/07/17 11:26,2023/7/17,11:26,2514.76,2515.1,2514.26,2515.1,7315,2514.54,2515.39,2516,2515.58,7315,12920,11231,-0.32,-0.09,-0.45
202307171127 , 2023/07/17 11:27,2023/7/17,11:27,2515.04,2515.04,2512.55,2512.67,14664,2514.13,2514.94,2515.82,2515.54,14664,12992,11910,-0.51,-0.18,-0.66
202307171128 , 2023/07/17 11:28,2023/7/17,11:28,2512.66,2513.77,2512.55,2512.8,8855,2513.93,2514.58,2515.64,2515.49,8855,9862,11802,-0.64,-0.27,-0.74
202307171129 , 2023/07/17 11:29,2023/7/17,11:29,2512.9,2513.26,2512.57,2513.19,8131,2513.71,2514.34,2515.49,2515.44,8131,9595,11598,-0.71,-0.36,-0.7
202307171130 , 2023/07/17 11:30,2023/7/17,11:30,2513.39,2514.08,2511.76,2512.83,11773,2513.32,2514.01,2515.32,2515.38,11773,10148,11865,-0.78,-0.44,-0.67
202307171301 , 2023/07/17 13:01,2023/7/17,13:01,2513.72,2514.15,2512.87,2513.96,33244,2513.09,2513.81,2515.21,2515.36,33244,15333,14127,-0.74,-0.5,-0.47
